weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
1e-05,1,3,4,4,0.001,0.2,192,96,32,ReduceLROnPlateau,0.1,0.3064348729132623,0.34534609556524626,0.5876615484828374,0.906815274772719,21,8.920096705380622,0.3455069634331756,203.14147758483887,14
0.0001,1,3,2,4,0.0003,0.2,384,96,64,ReduceLROnPlateau,0.1,0.3322986202573267,0.35008108037388846,0.5916764997647688,0.9055376339827558,25,7.302364011067655,0.35008636194726694,147.2055540084839,32
0.0001,1,3,2,8,0.0005,0.15,256,160,32,ReduceLROnPlateau,0.15,0.3516658948205579,0.356424689437642,0.597013140087923,0.9038259381647167,24,14.09561960973341,0.35640727147973816,302.9695928096771,1
5e-05,1,3,2,4,0.001,0.4,192,96,128,ReduceLROnPlateau,0.05,0.3207714412858193,0.3648602240339349,0.6040366081902113,0.9015497781513417,22,4.60674133099597,0.36534177910262855,95.801349401474,30
1e-06,1,3,4,8,0.001,0.4,512,128,128,OneCycleLR,0.05,0.3306320190523295,0.3650960987239379,0.6042318253153651,0.9014861320917561,25,6.377821564320117,0.3675855534902398,147.48444271087646,34
0.0001,1,3,4,8,0.0005,0.3,384,160,32,OneCycleLR,0.15,0.3174096601977229,0.3702761619881962,0.6085032144436019,0.9000883957972432,23,10.329427981428775,0.37192030620539207,237.97793579101562,24
1e-05,1,3,2,8,0.0003,0.4,384,160,128,ReduceLROnPlateau,0.15,0.31954639166556636,0.3746697278632151,0.6121027102237133,0.8989028800665341,23,4.668160077745698,0.38476473028691993,147.68839478492737,40
1e-06,1,3,4,8,0.001,0.2,192,96,32,OneCycleLR,0.15,0.3312638032899267,0.38181204281942993,0.6179094131176753,0.896975669464682,23,12.984997295419657,0.38207259747846195,209.7998948097229,2
5e-05,1,3,2,4,0.0003,0.4,512,192,64,OneCycleLR,0.1,0.32736628347077423,0.3967091470812457,0.6298485112161858,0.8929559843281022,25,6.673388998962051,0.3991957759392494,164.37382054328918,4
5e-05,1,3,2,4,0.0005,0.4,384,192,32,ReduceLROnPlateau,0.15,0.33412937621413497,0.40937105234601406,0.6398211096439489,0.8895394228609164,25,3.999074446792199,0.4137602044188458,263.1003894805908,23
