combo,groups,n_groups,n_channels,cost,has_emg,has_imu,MAE,MAE_std,RMSE,R2,w_MAE,w_RMSE,w_R2,class_macro_MAE,class_macro_RMSE,class_macro_R2,zero_MAE,n_folds
IMUup-EMGfo,IMUup+EMGfo,2,9,4,True,True,0.19304442839713434,0.0058229137391443185,0.4333831175225076,0.9493823925999078,0.4476568254369828,0.6465577718268096,0.8525325384296828,0.3744610214544699,0.527268832932535,0.9058986713786099,0.020277432167439907,3
EMGfo-EMGsh,EMGfo+EMGsh,2,6,6,True,False,0.21690308646469858,0.007319957671549662,0.42654025669629325,0.9510482095140721,0.462355569575386,0.63930229704631,0.8578306061477753,0.39279869165896303,0.5388965528161829,0.9086497689377251,0.04653959320513321,3
EMGfo-EMGup,EMGfo+EMGup,2,5,6,True,False,0.19652371907752553,0.005401048926441119,0.42285881253444607,0.9519024443302774,0.4680341118819009,0.6633966168251875,0.8459051037412093,0.3917503187119239,0.5451872629163322,0.9019138612800034,0.018031195173356426,3
EMGfo,EMGfo,1,3,3,True,False,0.21946344951377217,0.0055272783943512635,0.472163490841617,0.9400319884884528,0.49746599611991693,0.6994457769869298,0.827899316455773,0.41935205665078834,0.5887524051137614,0.8892259649313377,0.03302147739769943,3
IMUup-IMUfo-EMGup-EMGsh,IMUup+IMUfo+EMGup+EMGsh,4,17,8,True,True,0.23602036172366359,0.003244226008104746,0.48682488057338585,0.9362819891335161,0.5620985756080185,0.7670997650437021,0.7909223949136304,0.4699309825614055,0.6314329335080016,0.8676139483654642,0.02750526276467884,3
IMUup-EMGup-EMGsh,IMUup+EMGup+EMGsh,3,11,7,True,True,0.24841607593318268,0.008586737197427056,0.4953268302616705,0.9339641635917161,0.578386652081169,0.7832848691257193,0.7825041358284976,0.4855149041792368,0.6531603661894885,0.8621707010724097,0.0358716956923642,3
IMUfo-EMGup-EMGsh,IMUfo+EMGup+EMGsh,3,11,7,True,True,0.2632956482919071,0.004116543478118905,0.519359958240471,0.9274429637871174,0.5936647349491815,0.8122391500307433,0.7700330456345233,0.5007889902954554,0.671788358434364,0.8533672822992834,0.04345243289592653,3
IMUup-IMUfo-EMGup,IMUup+IMUfo+EMGup,3,14,5,True,True,0.25519083203807474,0.006587902335443126,0.5291321187186762,0.924716086556605,0.5991339980693303,0.830019641766663,0.7553817307176584,0.5009894904944869,0.6852222086227687,0.8455138097134419,0.034955421398182265,3
IMUup-IMUfo-EMGsh,IMUup+IMUfo+EMGsh,3,15,5,True,True,0.2636524501913855,0.004150294775232189,0.5377100834841496,0.9222607645809983,0.6118980881238395,0.8357324767782158,0.7514315782491051,0.5134008783333398,0.6966646015054196,0.8431001534007271,0.03994159076157826,3
IMUup-EMGup,IMUup+EMGup,2,8,4,True,True,0.2823760600986238,0.015079647062883773,0.5575326042911414,0.9163259070620615,0.6397653398330043,0.8636979938405007,0.7358739743698549,0.5391759444247248,0.7217329449353035,0.8322700221373891,0.04954185976724135,3
IMUfo-EMGup,IMUfo+EMGup,2,8,4,True,True,0.27133435846488846,0.002791238046904448,0.5556146390575493,0.9169993745374457,0.6352236731755962,0.8660869564230321,0.7358865379438391,0.5331936499450135,0.7234907318749313,0.8317456422020806,0.036270281469615875,3
IMUfo-EMGsh,IMUfo+EMGsh,2,9,4,True,True,0.325786789570625,0.01656661078280054,0.6375743863072801,0.8906596946026767,0.6887626856294519,0.9409906504135741,0.6869819456761196,0.5856613699580745,0.803870688947798,0.7986873536139208,0.08215520232163455,3
IMUup-EMGsh,IMUup+EMGsh,2,9,4,True,True,0.3177935612126133,0.019263383159116236,0.6180955921350374,0.8971822128529358,0.7131964824695309,0.9488387362776488,0.6780680155059486,0.6033888800621755,0.8062115739747577,0.7949840943688744,0.07221407826990506,3
EMGup-EMGsh,EMGup+EMGsh,2,5,6,True,False,0.34777226516733845,0.0058931360294910765,0.6573115211735676,0.8837978188356548,0.7529330380865024,0.996795631568341,0.6523004909482947,0.6394075083701213,0.8455459462478396,0.7768904660858091,0.0794917905202442,3
imu_only,IMUup+IMUfo,2,12,2,False,True,0.40366555467861237,0.014616245483277017,0.8117344237306131,0.8227656094419249,0.8357515733364703,1.1493680504699346,0.532367847091751,0.7080388806901228,0.9679422401802827,0.700806685260852,0.09581988604812151,3
EMGup,EMGup,1,2,3,True,False,0.42578258199511226,0.008250914493003645,0.7668615580924483,0.8418824651059668,0.8724547244226567,1.1459781490756529,0.5466288981050057,0.7482184899439881,0.9767130556029244,0.706668956279124,0.13107163433330568,3
