weight_decay,pool_size,loss_type,learning_rate,gru_num_layers,gru_hidden_size,dropout_rate,cnn_kernel_sizes,cnn_filters,batch_size,channel_dropout_p,magnitude_scale_range,target_transform,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.0005,4,mae,0.002,3,128,0.4,"[64, 5, 3]","[32, 64, 128]",32,0.5,"(0.5, 2.0)",sqrt,0.39234247352177726,0.5254777392780382,0.72489843376713,0.8383370054129836,21,1.1987741599777537,0.144472746915068,213.12095546722412,43
0.005,4,mse,0.002,2,128,0.3,"[32, 5, 3]","[32, 64, 128]",32,0.25,"(0.5, 2.0)",sqrt,0.4006751024183944,0.5290096685057003,0.7273305084387017,0.8372504089447912,29,2.6269472258418176,0.06701588771864155,361.94412207603455,1
0.0001,4,huber,0.001,3,128,0.4,"[64, 5, 3, 3]","[64, 128, 256, 256]",32,0.35,"(0.5, 2.0)",log1p,0.4173766334662834,0.5295221786626927,0.7276827458877204,0.8370927354211715,34,3.6150333303420528,0.02419711812016568,350.32371497154236,40
0.001,4,huber,0.001,3,128,0.5,"[64, 5, 3]","[64, 128, 256]",128,0.15,"(0.3, 3.0)",log1p,0.42285046991161634,0.5435186944721899,0.737237203667985,0.8327867135092697,36,3.0638483384752604,0.03240713105745052,368.29461002349854,38
0.001,4,mae,0.002,1,128,0.3,"[32, 5, 3]","[64, 128, 256]",64,0.15,"(0.3, 3.0)",sqrt,0.4101341611846397,0.5545366878763429,0.744672201627228,0.8293970327009017,25,1.6273025128966296,0.16156387410187276,199.32229733467102,28
0.005,4,mae,0.001,1,256,0.4,"[64, 5, 3, 3]","[64, 128, 256, 256]",64,0.25,"(0.3, 3.0)",sqrt,0.43091881567994644,0.5579785352842199,0.7469796083456495,0.8283381498648116,27,1.5161902495998958,0.17235165424630705,223.86152935028076,34
0.0001,4,mae,0.002,3,128,0.4,"[64, 5, 3]","[64, 128, 256]",64,0.35,"(0.5, 2.0)",none,0.4000455279511844,0.5600559208827871,0.748368840133518,0.8276990431021964,47,1.6697669214825535,0.4003120334122277,433.76024103164673,6
0.001,4,mse,0.0005,1,128,0.3,"[32, 5, 3]","[64, 128, 256]",128,0.35,"(0.5, 2.0)",sqrt,0.43799905162969766,0.5613002810207908,0.7491997604249422,0.827316216254896,28,2.664686592231893,0.09044393517643809,263.3961720466614,36
0.001,4,huber,0.002,2,192,0.6,"[64, 5, 3]","[64, 128, 256]",128,0.5,"(0.5, 2.0)",log1p,0.4609783770548722,0.5663535781608361,0.7525646670956829,0.8257615716198633,21,2.030060038887777,0.033176373986604946,209.67394423484802,23
0.01,4,huber,0.002,2,256,0.5,"[32, 5, 3]","[32, 64, 128]",64,0.25,"(0.5, 2.0)",none,0.5313713618294515,0.5783139235472464,0.7604695414987023,0.8220819766400291,21,2.1266782680491767,0.24346961472024428,175.5081489086151,45
0.0001,4,mae,0.002,2,192,0.3,"[64, 5, 3]","[32, 64, 128]",32,0.5,"(0.3, 3.0)",log1p,0.43429574711634716,0.5795784710235741,0.7613005129537048,0.8216929391670023,30,1.5576703274468076,0.13846539648738015,296.5771815776825,16
0.0005,4,huber,0.001,3,256,0.6,"[32, 5, 3]","[32, 64, 128]",64,0.5,"(0.5, 2.0)",none,0.5366325275928554,0.5803156866791608,0.7617845408507321,0.8214661350959063,20,1.8875959457601899,0.24634592278194803,189.28437519073486,18
0.001,4,mae,0.002,1,192,0.6,"[64, 5, 3]","[64, 128, 256]",128,0.5,"(0.5, 2.0)",sqrt,0.43227300436705984,0.5823558848551981,0.763122457312847,0.8208384690274211,26,1.7944172992089034,0.1864533558653102,258.0567078590393,20
0.0001,4,huber,0.0005,2,192,0.4,"[32, 5, 3]","[32, 64, 128]",128,0.25,"(0.3, 3.0)",sqrt,0.4351553687936649,0.5843863113368464,0.764451640940646,0.8202138092164022,64,3.0034003132925147,0.040420741452861016,512.7911796569824,9
0.0001,4,mae,0.0005,2,128,0.3,"[32, 5, 3]","[64, 128, 256]",128,0.5,"(0.5, 2.0)",sqrt,0.43017621471017153,0.5901884351971207,0.7682372258600338,0.8184287883713603,57,1.952405204866585,0.16254415103010392,546.9186165332794,52
0.0005,4,mae,0.001,1,192,0.5,"[64, 5, 3]","[64, 128, 256]",64,0.35,"(0.3, 3.0)",sqrt,0.41012537602428123,0.5942148738848424,0.7708533413593291,0.8171900562860157,38,1.6887637683477477,0.1508141788643941,323.8414525985718,54
0.001,4,mse,0.0005,3,256,0.3,"[32, 5, 3]","[64, 128, 256]",128,0.5,"(0.5, 2.0)",sqrt,0.4236642048650354,0.5960039509660672,0.7720129215020091,0.8166396475115256,53,4.974131752338248,0.07262943073968546,467.63549542427063,53
0.0001,4,mae,0.001,2,192,0.7,"[64, 5, 3]","[64, 128, 256]",32,0.25,"(0.5, 2.0)",log1p,0.4546766674944376,0.5968830595445481,0.7725820730152546,0.8163691901453209,24,1.8585089936580925,0.16073308687795268,266.44396901130676,30
0.01,4,mse,0.001,1,128,0.4,"[64, 5, 3]","[64, 128, 256]",32,0.25,"(0.5, 2.0)",sqrt,0.42813368850859823,0.5976904033311822,0.773104393553149,0.8161208111856568,23,1.8071574594289934,0.06978734155111105,219.55246782302856,25
0.01,4,mse,0.002,2,192,0.5,"[64, 5, 3]","[64, 128, 256]",128,0.35,"(0.5, 2.0)",none,0.4900987924804722,0.5990481893158229,0.7739820342332391,0.8157030889266952,17,2.1294580787706363,0.6057918702962065,170.83053350448608,10
0.0001,4,mae,0.0005,3,256,0.4,"[64, 5, 3]","[64, 128, 256]",32,0.15,"(0.3, 3.0)",sqrt,0.41789093295637325,0.6017668795985692,0.7757363467045806,0.8148666850610106,32,2.125167568672955,0.15076661800007402,368.64745926856995,15
0.005,4,mse,0.001,1,128,0.6,"[64, 5, 3]","[64, 128, 256]",32,0.15,"(0.3, 3.0)",none,0.4676058404204404,0.6018417744073836,0.7757846185684424,0.814843643706131,34,2.8535689224367777,0.601952603710401,316.047709941864,55
0.0005,4,huber,0.002,2,256,0.4,"[64, 5, 3, 3]","[64, 128, 256, 256]",64,0.25,"(0.3, 3.0)",sqrt,0.4525268562656761,0.6084084803051443,0.7800054360740983,0.8128233995346791,32,2.9288971898586067,0.041797244986128745,265.74500370025635,56
0.0001,4,huber,0.002,2,256,0.4,"[32, 5, 3]","[64, 128, 256]",64,0.15,"(0.3, 3.0)",log1p,0.43470423724814405,0.6147352113384525,0.7840505158077843,0.8108769835243711,27,2.804613547512315,0.02825779888441384,247.775071144104,33
0.005,4,mse,0.001,2,256,0.3,"[64, 5, 3]","[32, 64, 128]",64,0.5,"(0.5, 2.0)",log1p,0.47546330275161114,0.619538058624254,0.7871073996757075,0.8093993896764689,28,2.9270299587045994,0.057425978166617694,249.5860722064972,21
0.005,4,huber,0.001,2,192,0.6,"[64, 5, 3]","[64, 128, 256]",64,0.25,"(0.5, 2.0)",none,0.50663913161027,0.6221741423618363,0.7887801609839311,0.8085883996779484,19,2.3456707293508474,0.26478288682825446,198.55692338943481,39
0.005,4,huber,0.001,1,256,0.3,"[64, 5, 3]","[32, 64, 128]",64,0.25,"(0.3, 3.0)",sqrt,0.4304167976561255,0.6232309110542804,0.7894497520769009,0.8082632852560871,39,4.0255780232075535,0.036726583037736675,332.4986412525177,60
