weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,total_params,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.01,2,2,2,8,0.0003,0.4,2048,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3427159676901488,0.31200368515576926,0.5585729004845914,0.9161021555022211,4330498,36,,,286.5282096862793,133
0.001,4,4,2,8,0.0003,0.4,2048,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.294383341797719,0.31268711707424246,0.5591843319284281,0.9159183805420239,5614210,41,,,505.17514848709106,113
0.01,4,4,2,8,0.0005,0.4,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3014727601798647,0.31413290967430435,0.5604756102403604,0.9155296066636786,1638146,29,,,331.1041042804718,72
0.001,4,2,4,8,0.0003,0.4,1024,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.37548032301382656,0.314199333176544,0.5605348634800016,0.9155117453725239,4037250,26,,,353.30125999450684,70
0.01,3,2,4,8,0.0005,0.4,512,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3008980715127923,0.31545280409875115,0.5616518531071995,0.9151746868263682,1241730,32,,,228.30898332595825,115
0.005,3,4,2,8,0.0003,0.4,2048,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29668210765802133,0.3156136199228885,0.5617949981291116,0.9151314434236516,5614210,35,,,434.28697681427,108
0.01,3,3,4,8,0.0003,0.5,1024,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30848034809595737,0.3166703272824985,0.5627346864042579,0.9148472946332552,3049154,21,,,236.4230442047119,88
0.001,3,3,2,8,0.001,0.4,512,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3048020865604203,0.3171321324795523,0.5631448592321094,0.9147231151364927,1800098,27,,,214.1328010559082,143
0.005,3,4,4,8,0.001,0.5,512,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30664225425026803,0.3194748183598351,0.5652210349587452,0.9140931665011329,2377410,23,,,297.27909684181213,38
0.001,3,2,4,8,0.0003,0.4,512,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.4343128013439582,0.3217820820439065,0.5672583908977518,0.913472742900415,2457794,21,,,224.9411597251892,105
0.01,3,2,4,8,0.0003,0.6,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2934335840208496,0.3223169302096825,0.5677296277363746,0.9133289221368244,1636482,35,,,330.56332087516785,16
0.01,2,2,2,8,0.0005,0.4,2048,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.35828030064883126,0.3237564549705495,0.5689960061112463,0.9129418336815145,4330498,24,,,234.20915722846985,64
0.005,2,4,2,8,0.0003,0.6,512,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2998806722937382,0.32498295422200824,0.5700727622172526,0.9126120278222531,2377410,36,2.134632840157469,0.37393163218367664,359.25163888931274,112
0.01,3,4,2,8,0.0003,0.5,512,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29884191759039114,0.3254044878540304,0.5704423615528833,0.9124986773562408,2377410,32,,,321.56159234046936,121
