weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.0001,3,3,2,8,0.001,0.3,1024,128,32,ReduceLROnPlateau,0.1,0.5,0.4,0.2,0.05,"(0.8, 1.2)","(0.8, 1.2)",0.30907250829990074,0.28440272227693747,0.5332942173668654,0.9235240591583945,16,,0.28534064469754206,157.21726250648499,24
0.001,3,3,2,8,0.001,0.2,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.25,0.2,0.05,"(0.9, 1.1)","(0.9, 1.1)",0.37151534075649356,0.28516294702145845,0.5340065046621234,0.9233196345940906,17,,0.28516971628836285,245.51029324531555,240
0.01,3,3,2,8,0.001,0.2,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.25,0.8,0.01,"(0.8, 1.2)","(0.7, 1.3)",0.37948764486609776,0.2853793676134477,0.534209104764649,0.9232614390597533,17,,0.2854041066800439,231.09325218200684,86
0.01,3,3,2,8,0.001,0.2,1024,128,32,ReduceLROnPlateau,0.1,0.8,0.1,0.5,0.1,"(0.5, 2.0)","(0.7, 1.3)",0.28634290236558846,0.28547208406584146,0.5342958768939187,0.9232365075897887,24,,0.28724085773101715,300.4298861026764,124
0.0001,3,3,2,8,0.0005,0.2,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.25,0.5,0.05,"(0.8, 1.2)","(0.7, 1.3)",0.3063198176794766,0.2861533953756552,0.5349330756044678,0.923053302861624,20,7.0136176346509425,0.28617384445260363,272.148473739624,141
0.001,3,3,2,8,0.0005,0.5,1024,128,32,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.8, 1.2)",0.2867444158366812,0.28651176948807894,0.5352679417712954,0.9229569360012738,16,4.228216547430465,0.2954999267451314,176.93593502044678,27
0.001,3,3,2,8,0.0005,0.2,1024,128,32,ReduceLROnPlateau,0.1,0.8,0.25,0.8,0.05,"(0.5, 2.0)","(0.8, 1.2)",0.29888482255886034,0.28961261300948365,0.5381566807254962,0.922123118646069,19,6.249818769190241,0.29117123297368863,262.6442527770996,20
0.005,3,3,2,8,0.001,0.3,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.1,0.8,0.1,"(0.9, 1.1)","(0.8, 1.2)",0.29610914850735787,0.28983251219303874,0.538360949728933,0.9220639877178626,19,,0.29239743650406713,238.15717005729675,42
0.001,3,3,2,8,0.001,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.321832354791278,0.28989569101999885,0.5384196235465409,0.9220469989204475,22,,0.2898842240779452,145.7009425163269,19
0.0001,3,3,2,8,0.001,0.4,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.4,0.2,0.05,"(0.9, 1.1)","(0.8, 1.2)",0.2921377040695983,0.2912969542021198,0.5397193290981154,0.9216701990102305,17,,0.33054483041379656,152.28345036506653,28
0.01,3,3,2,8,0.0005,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.01,"(0.8, 1.2)","(0.8, 1.2)",0.31086743104703785,0.2927677299630709,0.5410801511449768,0.9212747071556335,23,9.397777593609776,0.2930338197602246,206.27638268470764,1
0.005,3,3,2,8,0.0005,0.4,1024,128,32,ReduceLROnPlateau,0.1,0.8,0.25,0.8,0.01,"(0.5, 2.0)","(0.7, 1.3)",0.3035620504466332,0.29280268365566026,0.5411124501022503,0.9212653081016959,17,,0.3211166393305248,200.07655382156372,186
0.01,3,3,2,8,0.001,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.1,0.2,0.1,"(0.9, 1.1)","(0.9, 1.1)",0.2883882806156241,0.29393705701052236,0.5421596231835439,0.920960274911844,26,13.3130875170967,0.29394773789482376,163.75683856010437,107
0.005,3,3,2,8,0.001,0.5,1024,128,128,ReduceLROnPlateau,0.1,1.0,0.1,0.8,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30361132984646977,0.2939699825164738,0.5421899874734629,0.9209514212376415,16,,0.31359191252070984,137.3349061012268,245
0.001,3,3,2,8,0.0005,0.3,1024,128,64,ReduceLROnPlateau,0.1,1.0,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.316929141101136,0.2948192618866122,0.5429726161480082,0.9207230498692217,18,4.4882833307309165,0.29956954729485497,177.5714828968048,35
0.01,3,3,2,8,0.0005,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.5,0.4,0.8,0.01,"(0.8, 1.2)","(0.9, 1.1)",0.28587019358927473,0.2953997786234486,0.5435069260124001,0.9205669488190333,34,7.981396258539939,0.29645915056920463,232.92105412483215,64
0.001,3,3,2,8,0.0005,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.1,0.2,0.01,"(0.9, 1.1)","(0.7, 1.3)",0.28544709978569566,0.29595155756392005,0.544014299043619,0.9204185753672207,22,11.439004912545915,0.2970319319379482,209.0763177871704,16
0.0001,3,3,2,8,0.001,0.3,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.1,0.2,0.01,"(0.8, 1.2)","(0.8, 1.2)",0.28595341265181445,0.29642120564814006,0.5444457784280635,0.9202922869167529,17,,0.2975800016792931,243.05966472625732,238
