iteration,n_categories,n_features,rmse,mae,r2,total_params,training_time,epochs_trained,toggle_EMG_BW,toggle_EMG_HjComp,toggle_EMG_HjMob,toggle_EMG_IEMG,toggle_EMG_Kurt,toggle_EMG_LogDet,toggle_EMG_MAV,toggle_EMG_MDF,toggle_EMG_MNF,toggle_EMG_Myopulse,toggle_EMG_PeakFreq,toggle_EMG_Power,toggle_EMG_RMS,toggle_EMG_SSC,toggle_EMG_Skew,toggle_EMG_SpecEntropy,toggle_EMG_VAR,toggle_EMG_WAMP,toggle_EMG_WL,toggle_EMG_ZC,toggle_IMU_DomFreq,toggle_IMU_Jerk,toggle_IMU_Kurt,toggle_IMU_MNF,toggle_IMU_Max,toggle_IMU_Mean,toggle_IMU_P2P,toggle_IMU_SMA,toggle_IMU_SVM_Mean,toggle_IMU_Skew,toggle_IMU_SpecEnergy,toggle_IMU_Std,toggle_IMU_Var
45,21,184,0.5035972536244381,0.27954747045844996,0.9318041753361546,1359618,177.179137468338,24,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0
90,22,196,0.5037972157232314,0.29762662752338215,0.9317500078940093,1361154,161.97087359428406,24,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0
150,19,180,0.5039156225804164,0.28686941521385073,0.931717922695913,1359106,201.67597436904907,29,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1
48,17,148,0.503935938282351,0.30274996891626715,0.931712416907917,1355010,146.05014085769653,22,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0
113,17,148,0.5062267991873843,0.3190957021085407,0.9310901436400127,1355010,149.61131715774536,21,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
149,13,124,0.5062303209523389,0.32811632497352666,0.9310891848398793,1351938,151.30810379981995,22,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0
98,15,132,0.5062644269607494,0.2826065761718147,0.9310798991376366,1352962,144.55425906181335,21,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
26,12,104,0.5068359737750544,0.2740002247285816,0.93092419671319,1349378,172.05801391601562,24,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
43,14,124,0.5086552468347635,0.2855053747347755,0.9304274155260457,1351938,179.08819556236267,25,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0
67,19,180,0.5090333642726861,0.2774748147100054,0.9303239411776167,1359106,210.6775164604187,29,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1
75,16,160,0.5094102005047159,0.34429798937554834,0.9302207409392328,1356546,148.0406572818756,22,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1
9,21,180,0.5096015020843107,0.3321958406651637,0.9301683219301229,1359106,179.1168670654297,25,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1
39,12,104,0.5098946396989037,0.29429425278540755,0.9300879603966409,1349378,160.2204978466034,24,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0
72,18,160,0.5100065254976136,0.2763487943653674,0.9300572755375063,1356546,171.1920964717865,24,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0
103,16,148,0.5101290847770552,0.2864969777613543,0.9300236557327992,1355010,169.4176926612854,25,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0
27,13,108,0.510242311928466,0.3085098522690705,0.9299925886884975,1349890,243.50659918785095,34,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
131,19,184,0.5122067710726473,0.32537850956101216,0.9294524867074468,1359618,173.95926451683044,24,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1
141,21,184,0.5124871098344747,0.27873099087998104,0.929375242063957,1359618,199.8192036151886,29,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0
49,16,148,0.5127860896940377,0.30790801853473054,0.9292928144709308,1355010,143.6967236995697,22,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
58,16,148,0.5129797085852729,0.33061437145278516,0.9292394088433744,1355010,145.3774344921112,22,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0
104,20,192,0.513024544589087,0.3002859258792808,0.929227038916337,1360642,152.5589714050293,22,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
105,21,200,0.5136055695360636,0.28944951129901736,0.9290666405803605,1361666,148.63940691947937,21,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0
22,16,160,0.514621995587464,0.29012530419742444,0.928785608363296,1356546,160.86785626411438,22,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1
