iteration,rmse,mae,r2,total_params,training_time,epochs_trained,weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type
4,0.5700838963180528,0.31360309706785944,0.9126086142369807,1021762,234.05798959732056,31,0.005,2,4,4,4,0.0003,0.25,512,96,64,ReduceLROnPlateau
22,0.5722200435950819,0.3169602678398261,0.9119524630087854,2033346,246.24832344055176,30,0.005,4,4,2,4,0.0003,0.25,256,160,64,ReduceLROnPlateau
139,0.573067814701495,0.3045958738019389,0.911691376550468,2033346,204.6260256767273,28,0.005,3,4,2,8,0.0003,0.25,256,160,64,ReduceLROnPlateau
36,0.5749570831937831,0.31773337141635133,0.9111081516357907,416834,177.11466455459595,31,0.005,1,3,8,8,0.0003,0.25,512,64,64,ReduceLROnPlateau
103,0.5752323598138579,0.32697684856612075,0.9110230123929018,416002,131.30112409591675,28,0.005,1,2,4,8,0.0003,0.25,1024,64,64,ReduceLROnPlateau
26,0.5757694282023381,0.31708487183879575,0.9108567872677632,701442,176.99972486495972,35,0.005,2,2,8,4,0.0003,0.25,256,128,64,ReduceLROnPlateau
99,0.5786739795958892,0.32388368320757965,0.909955127289982,217858,131.8373041152954,30,0.005,2,2,4,8,0.0003,0.25,256,64,64,ReduceLROnPlateau
19,0.5839388448398009,0.316584371969115,0.9083091893791669,2033346,222.05565404891968,29,0.005,1,4,8,8,0.0003,0.25,256,160,64,ReduceLROnPlateau
92,0.5860905532764806,0.3683880144608978,0.9076322164910209,1625858,219.38083600997925,31,0.005,2,4,2,4,0.0003,0.25,512,128,64,ReduceLROnPlateau
18,0.5861320182375125,0.3251534391183403,0.9076191462853795,3019458,248.0791153907776,30,0.005,2,4,4,8,0.0003,0.25,1024,160,64,ReduceLROnPlateau
146,0.5879822390464883,0.3452123484858112,0.9070349954498043,614978,118.92853045463562,21,0.005,1,3,4,8,0.0003,0.25,1024,64,64,ReduceLROnPlateau
42,0.5890021137897874,0.31615508633053846,0.9067122139720473,614978,239.3285038471222,47,0.005,2,3,8,8,0.0003,0.25,1024,64,64,ReduceLROnPlateau
49,0.5902838273210356,0.3164468227239117,0.9063057695480589,1096194,343.78957986831665,72,0.005,2,2,8,4,0.0003,0.25,1024,128,64,ReduceLROnPlateau
55,0.5922542887352091,0.31243335397372723,0.905679192961672,2277794,294.6591167449951,45,0.005,3,3,8,4,0.0003,0.25,1024,160,64,ReduceLROnPlateau
77,0.5931167297914239,0.35861479528906737,0.905404292919105,1784738,149.56621551513672,23,0.005,1,3,2,8,0.0003,0.25,512,160,64,ReduceLROnPlateau
143,0.5971903852400821,0.3187274870493764,0.9041004225904251,3019458,334.49209809303284,44,0.005,4,2,2,4,0.0003,0.25,1024,160,64,ReduceLROnPlateau
128,0.5976405875115111,0.3325988659623057,0.90395577698843,416002,106.82864308357239,27,0.005,1,2,8,4,0.0003,0.25,1024,64,64,ReduceLROnPlateau
30,0.6159643678976486,0.33663995580006295,0.8979760205015901,722818,230.56709361076355,50,0.005,2,2,2,4,0.0003,0.25,1024,96,64,ReduceLROnPlateau
35,0.6346793352696799,0.3560600305034068,0.8916822086687242,1229442,198.55948448181152,33,0.005,3,3,4,4,0.0003,0.25,512,128,64,ReduceLROnPlateau
