weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
5e-05,2,1,8,2,0.0003,0.5,128,96,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.31130219237471735,0.33673977225667595,0.5802928331943071,0.9094506174345239,39,3.225622821256644,0.49544844591944004,136.4089961051941,98
0.0001,1,1,4,8,0.0005,0.2,512,160,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.39675014812930215,0.3396532125013672,0.58279774579297,0.9086671928525974,32,3.1430758894129114,0.34365449578173607,101.32996845245361,49
1e-05,2,1,8,2,0.0001,0.5,128,96,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3129837765833622,0.3398220494168369,0.5829425781471421,0.9086217925770447,41,2.7177886560522566,0.5024340909625566,303.9692442417145,56
0.0005,3,4,2,2,0.0005,0.1,1024,96,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3325908657681512,0.3423291371147382,0.5850889993109922,0.9079476362647055,33,6.784896319449424,0.34251448172469473,281.0369830131531,1
0.0001,1,1,2,8,0.0005,0.2,512,256,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3630767524193885,0.3426072756524419,0.58532664013561,0.9078728447641711,31,5.825352786110418,0.36001615434862666,137.53662586212158,46
0.001,2,4,2,2,0.0005,0.5,512,128,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.32062645900703335,0.34734321221364156,0.5893583054591167,0.9065993506098808,33,2.724100320966322,0.35548949735511626,325.2682111263275,52
0.001,2,3,4,4,0.0003,0.5,512,96,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3142999169444197,0.3481058759634396,0.5900049796090195,0.9063942701966392,37,,0.563469735138951,208.36079502105713,92
0.001,3,2,2,2,0.001,0.5,128,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3213644910915758,0.3600884782512343,0.6000737273462606,0.9031721463844855,35,5.29381280446815,0.37628517782194043,167.11138701438904,28
0.001,1,1,2,4,0.002,0.2,128,192,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3523943624953891,0.36789795911157996,0.6065459249814312,0.901072175640542,31,1.6735929762266575,0.44894429231977784,144.16153979301453,19
1e-05,3,3,2,2,0.002,0.3,128,128,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.40255484826106025,0.38106446321524745,0.6173041901811841,0.8975317004268683,31,,0.38135247648611875,259.80250215530396,59
1e-06,2,1,8,4,0.0001,0.5,512,96,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3394041422981118,0.3856520938471383,0.6210089321798344,0.8962980857624278,36,3.2786652538150247,0.6065498863608875,143.36740517616272,39
0.001,3,2,4,4,0.001,0.4,512,160,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.34135103477500744,0.3895470902382827,0.6241370764810265,0.8952507205642235,32,,0.4022530790029928,246.22233867645264,7
