stage,tag,feature_set,config_id,fidelity_epochs,rmse,mae,r2,n_features,total_params,training_time,epochs_trained,params_json
Stage B rung 1,config #26,ridge_positive_17,26,60,0.34984465291105643,0.15713277196002018,0.967104590978283,,1412418,522.21626329422,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0005, ""dropout_rate"": 0.2, ""dim_feedforward"": 1024, ""d_model"": 96, ""batch_size"": 128, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #27,ridge_positive_17,27,60,0.34792617724197783,0.1832317219309279,0.9674643849774025,,768866,367.4593577384949,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.2, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0002, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 96, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #28,ridge_positive_17,28,60,0.3618101668681942,0.17402355859070914,0.9648159084061084,,2354370,626.7544000148773,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.3, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0002, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #29,ridge_positive_17,29,60,0.3695509985737302,0.17638586496772712,0.9632942949809873,,3011778,808.6764740943909,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.05, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0001, ""dropout_rate"": 0.25, ""dim_feedforward"": 1024, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #30,ridge_positive_17,30,60,0.3445705459062995,0.17640105741361914,0.9680889487272346,,2354370,608.5882003307343,60,"{""weight_decay"": 0.0001, ""scheduler_pct_start"": 0.1, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0001, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #31,ridge_positive_17,31,60,0.347734383929921,0.1562042426154808,0.9675002454205119,,2354370,768.7261955738068,60,"{""weight_decay"": 0.0001, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0003, ""dropout_rate"": 0.2, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #32,ridge_positive_17,32,60,0.3660644710355552,0.16527857948427244,0.9639836274946902,,1065314,563.4293761253357,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.3, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 2, ""nhead_spatial"": 8, ""learning_rate"": 0.0008, ""dropout_rate"": 0.2, ""dim_feedforward"": 1024, ""d_model"": 96, ""batch_size"": 64, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #33,ridge_positive_17,33,60,0.4630555288741421,0.23118444792407825,0.9423696897046134,,2354370,776.3709299564362,60,"{""weight_decay"": 0.0001, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0005, ""dropout_rate"": 0.5, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #34,ridge_positive_17,34,60,0.38500922016307226,0.2094326547786835,0.9601592899411955,,1619714,501.2899715900421,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.05, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0008, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 128, ""batch_size"": 128, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #35,ridge_positive_17,35,60,0.4940714633129043,0.2512695523233765,0.9343908591171107,,1412418,711.875102519989,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.2, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0002, ""dropout_rate"": 0.5, ""dim_feedforward"": 1024, ""d_model"": 96, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
