combo,groups,n_groups,n_channels,cost,has_emg,has_imu,MAE,MAE_std,RMSE,R2,w_MAE,w_RMSE,w_R2,class_macro_MAE,class_macro_RMSE,class_macro_R2,zero_MAE,n_folds
IMUfo-EMGfo,IMUfo+EMGfo,2,9,4,True,True,0.3352050434193272,0.09372805210664527,0.6133720324253498,0.8918640457305581,0.6966088647945753,0.8981564916111746,0.7047629998839621,0.5919637008161199,0.7420038669543829,0.8110460070159345,0.07684389790252535,17
EMGfo-EMGsh,EMGfo+EMGsh,2,6,6,True,False,0.33159941653137603,0.09570018843405778,0.615956510594043,0.8917248390742509,0.6963099352335133,0.9051952407024365,0.7051110425264637,0.5914213305408936,0.7487514749345617,0.8106463704180107,0.07013958639970662,17
emg_only,EMGfo+EMGup+EMGsh,3,8,9,True,False,0.3453289798539811,0.07756681195914848,0.6284617654067531,0.8886886410499514,0.7111757162556566,0.9266922605343548,0.6922184361056913,0.6063484126606362,0.7511014542612869,0.8023503858990102,0.08347029396995545,17
IMUfo-EMGfo-EMGup,IMUfo+EMGfo+EMGup,3,11,7,True,True,0.3412451562922906,0.12077435585684501,0.6332220255455275,0.8799180450894328,0.7484930577491286,0.9539486012715858,0.6555103261232262,0.6306340245857132,0.766903481408126,0.7812449451735763,0.0494919560081595,17
EMGfo,EMGfo,1,3,3,True,False,0.37584737276374236,0.12774847132649908,0.6583093797392835,0.8737489622409115,0.7324215460961033,0.9482247009659119,0.666766060231112,0.6292185575441612,0.783632392467068,0.7858222001636878,0.11943110745531117,17
EMGfo-EMGup,EMGfo+EMGup,2,5,6,True,False,0.37678601774445253,0.14185065780438358,0.6653095336949263,0.8722651760213415,0.7611148555626707,0.9755651874492824,0.6562277161293713,0.650089566708941,0.8004099758040549,0.7795525518691492,0.10082172476084425,17
IMUup-IMUfo-EMGup-EMGsh,IMUup+IMUfo+EMGup+EMGsh,4,17,8,True,True,0.3981957277978648,0.10795329078196238,0.7065575352212752,0.8560824241545602,0.8108810155091999,1.0433874661077578,0.6029331234993114,0.6928398383766613,0.862010545410036,0.7437862108858743,0.10322826339126821,17
IMUfo-EMGup-EMGsh,IMUfo+EMGup+EMGsh,3,11,7,True,True,0.4354924261524711,0.1426395145512129,0.7545509846464897,0.8379335315798551,0.8426955088858522,1.0917503851072825,0.5775140515012388,0.7263455252160743,0.9087051552907989,0.7246993866880105,0.14359456891896907,17
IMUup-IMUfo-EMGup,IMUup+IMUfo+EMGup,3,14,5,True,True,0.44162595343264144,0.13364554633960163,0.7871196546449672,0.8219520297076004,0.90038805057799,1.160342347142289,0.5134510022054134,0.7691870770919857,0.948344854163498,0.6854997783710349,0.11346145866769494,17
IMUup-EMGup-EMGsh,IMUup+EMGup+EMGsh,3,11,7,True,True,0.44998985113042433,0.09909604045324934,0.7810423784990781,0.8280683276375048,0.902068896300327,1.150092069193923,0.5289093608886237,0.7720186320264192,0.9561383767121449,0.696581055813075,0.12639864636710046,17
IMUfo-EMGsh,IMUfo+EMGsh,2,9,4,True,True,0.4619779561860554,0.14600936146612403,0.8067190742205151,0.8147208570700905,0.8621748282756455,1.1374518772365025,0.5421108780140367,0.7478575838301138,0.9678852149734306,0.6995839487718414,0.1755727018174024,17
IMUup-IMUfo-EMGsh,IMUup+IMUfo+EMGsh,3,15,5,True,True,0.4707577169177012,0.13937278918248333,0.8153923926538358,0.8083155635991779,0.9003359062257059,1.1698660214188126,0.5018187850821474,0.7778023037231824,0.9803309893787713,0.6760106057955435,0.1642474290251478,17
IMUfo-EMGup,IMUfo+EMGup,2,8,4,True,True,0.4968351192175759,0.14638250054327667,0.8342696643948315,0.8065037617321976,0.9276315363017076,1.1971471035165644,0.5043720269398893,0.8040796983300109,0.9956201503705401,0.6767506133675919,0.18680802210232775,17
IMUup-EMGup,IMUup+EMGup,2,8,4,True,True,0.45764379714090203,0.11949925147054015,0.8249155583988482,0.8054573460229077,0.9515543296326323,1.2189694843538463,0.46416614336889944,0.8092008125412918,1.010609089850421,0.655024488186922,0.10425142331905747,17
EMGup-EMGsh,EMGup+EMGsh,2,5,6,True,False,0.5319210869280092,0.16969339983928508,0.8881881288967444,0.776167270504225,0.9997108958379627,1.2798503266361048,0.42313061056289897,0.8654559247582648,1.06839456041802,0.6236727428127528,0.19441741848929603,17
IMUup-EMGsh,IMUup+EMGsh,2,9,4,True,True,0.5214804392120043,0.12768228988927308,0.9063576242163096,0.7683410670851011,1.0098891092674633,1.299707778873005,0.40041142987250233,0.8701736893575432,1.1083344367421908,0.6102584116606418,0.17231298991445837,17
EMGup,EMGup,1,2,3,True,False,0.5720815895181379,0.17189696984086245,0.9553729843681878,0.7416090829881707,1.104483506889986,1.3891665450237998,0.3228493744771365,0.9524046671199633,1.1531918691435392,0.5590467957115095,0.1885082623905261,17
EMGsh,EMGsh,1,3,3,True,False,0.6859837993039202,0.1378466327136332,1.0359516260225037,0.7077235313044175,1.0485634290543908,1.3445405219600897,0.3789451555215056,0.9448576785066083,1.1929186346757361,0.5812459703230132,0.4275630797622304,17
imu_only,IMUup+IMUfo,2,12,2,False,True,0.6597738182848436,0.2092482196834224,1.107286434037876,0.6470442501305014,1.1192032915821022,1.4525921076133426,0.2567386731285701,0.9873302805844948,1.2447407894237326,0.498288797436435,0.32892861615374147,17
IMUfo,IMUfo,1,6,1,False,True,0.6815346747324912,0.2063809350649991,1.17308923557937,0.6158478842468033,1.167024742559975,1.5380934036691662,0.18058478236523953,1.028474847564104,1.323040252017055,0.44818283057003044,0.3318028999746971,17
IMUup,IMUup,1,6,1,False,True,0.7092672331495923,0.1907193646804233,1.180193203946482,0.60931928069363,1.201747203689779,1.5572001666275552,0.14966535122079483,1.0592182498856795,1.3460579454089383,0.4308523519272366,0.3545294517669607,17
